volume_curve_id,timestamp_start,next_timestamp,missing_entries
1e7a4b7f-67ca-5cfc-a43d-c28058e94664,2024-09-26 03:30:00,2024-09-26 04:00:00,1
1e7a4b7f-67ca-5cfc-a43d-c28058e94664,2024-09-26 01:45:00,2024-09-26 02:15:00,1
06741c57-d5d8-5981-a0da-099541464c6a,2024-09-26 01:15:00,2024-09-26 01:45:00,1
1e7a4b7f-67ca-5cfc-a43d-c28058e94664,2024-09-26 00:15:00,2024-09-26 00:45:00,1
1e7a4b7f-67ca-5cfc-a43d-c28058e94664,2024-09-25 01:45:00,2024-09-25 02:15:00,1
06741c57-d5d8-5981-a0da-099541464c6a,2024-09-25 01:00:00,2024-09-25 01:30:00,1
6829ee6b-19e8-5190-8bd9-906b921f50b9,2024-09-24 23:45:00,2024-09-25 00:15:00,1
6829ee6b-19e8-5190-8bd9-906b921f50b9,2024-09-24 23:15:00,2024-09-24 23:45:00,1
06741c57-d5d8-5981-a0da-099541464c6a,2024-09-24 01:00:00,2024-09-24 02:00:00,3
0e41785b-860b-5b56-ac88-a2afc5c22f37,2024-09-22 11:00:00,2024-09-22 12:15:00,4
1e7a4b7f-67ca-5cfc-a43d-c28058e94664,2024-09-22 03:15:00,2024-09-22 03:45:00,1
1e7a4b7f-67ca-5cfc-a43d-c28058e94664,2024-09-22 01:30:00,2024-09-22 02:00:00,1
1e7a4b7f-67ca-5cfc-a43d-c28058e94664,2024-09-21 22:45:00,2024-09-21 23:15:00,1
b0367685-29bb-550c-b16c-bd4b07cf5d36,2024-09-21 17:45:00,2024-09-23 22:00:00,208
0e41785b-860b-5b56-ac88-a2afc5c22f37,2024-09-21 09:45:00,2024-09-21 12:15:00,9
0e41785b-860b-5b56-ac88-a2afc5c22f37,2024-09-21 09:00:00,2024-09-21 09:30:00,1
06741c57-d5d8-5981-a0da-099541464c6a,2024-09-21 01:45:00,2024-09-21 02:15:00,1
06741c57-d5d8-5981-a0da-099541464c6a,2024-09-21 01:15:00,2024-09-21 01:45:00,1
1e7a4b7f-67ca-5cfc-a43d-c28058e94664,2024-09-21 00:00:00,2024-09-21 00:30:00,1
1e7a4b7f-67ca-5cfc-a43d-c28058e94664,2024-09-20 01:00:00,2024-09-20 01:30:00,1
06741c57-d5d8-5981-a0da-099541464c6a,2024-09-19 23:15:00,2024-09-20 00:15:00,3
1e7a4b7f-67ca-5cfc-a43d-c28058e94664,2024-09-19 01:15:00,2024-09-19 01:45:00,1
1e7a4b7f-67ca-5cfc-a43d-c28058e94664,2024-09-18 23:45:00,2024-09-19 00:15:00,1
1e7a4b7f-67ca-5cfc-a43d-c28058e94664,2024-09-18 00:45:00,2024-09-18 01:30:00,2
1e7a4b7f-67ca-5cfc-a43d-c28058e94664,2024-09-17 23:15:00,2024-09-17 23:45:00,1
06741c57-d5d8-5981-a0da-099541464c6a,2024-09-17 00:45:00,2024-09-17 01:15:00,1
06741c57-d5d8-5981-a0da-099541464c6a,2024-09-16 02:30:00,2024-09-16 03:00:00,1
06741c57-d5d8-5981-a0da-099541464c6a,2024-09-16 00:00:00,2024-09-16 01:15:00,4
06741c57-d5d8-5981-a0da-099541464c6a,2024-09-15 22:00:00,2024-09-15 22:30:00,1
